City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,mankera,31.3866,71.4407,57.24,62,7,2.82,PK,1707110041
110,claremont,34.0967,-117.7198,55.09,91,100,13.8,US,1707109841
111,sokcho,38.2083,128.5911,32.61,93,100,10.36,KR,1707110041
112,warrnambool,-38.3833,142.4833,63.36,61,69,14.56,AU,1707110041
113,kirensk,57.7853,108.1119,14.97,86,95,7.0,RU,1707110042
114,lorengau,-2.0226,147.2712,83.75,79,100,6.06,PG,1707110042
115,kudahuvadhoo,2.6708,72.8944,82.29,75,57,16.31,MV,1707110042
116,hasaki,35.7333,140.8333,39.6,89,100,18.16,JP,1707110043
117,pizarro,4.9533,-77.366,78.67,86,97,2.64,CO,1707110043
118,apolinario saravia,-24.4328,-63.9954,79.02,58,79,0.92,AR,1707110043
119,toliara,-23.35,43.6667,82.0,71,8,7.43,MG,1707110043
120,olonkinbyen,70.9221,-8.7187,22.08,90,99,36.06,SJ,1707110043
121,kukmor,56.1855,50.8944,24.57,90,98,17.11,RU,1707110044
122,ilulissat,69.2167,-51.1,-5.78,54,1,9.22,GL,1707110044
123,nagqu,31.5,92.0,26.29,9,10,25.41,CN,1707110044
124,harar,9.3094,42.1258,61.92,69,93,9.01,ET,1707110045
125,chillicothe,39.3331,-82.9824,37.26,74,0,5.75,US,1707110045
126,acapulco de juarez,16.8634,-99.8901,78.62,73,0,5.75,MX,1707109815
127,nishinoomote,30.7333,131.0,60.24,72,86,40.8,JP,1707110046
128,ancud,-41.8697,-73.8203,59.54,88,58,14.14,CL,1707110046
129,dapa,9.7594,126.0531,82.06,73,77,8.77,PH,1707110046
130,vadso,70.0744,29.7487,21.36,73,75,20.71,NO,1707110046
131,kendari,-3.945,122.4989,79.09,87,100,2.1,ID,1707110046
132,invercargill,-46.4,168.35,78.03,45,90,14.0,NZ,1707109817
133,kyenjojo,0.6328,30.6214,64.85,76,98,3.02,UG,1707110047
134,lata,40.1629,-8.3327,49.8,84,100,2.37,PT,1707110047
135,hammerfest,70.6634,23.6821,21.65,73,0,14.97,NO,1707110047
136,yorosso,12.3536,-4.7761,71.24,13,100,12.12,ML,1707110048
137,happy valley-goose bay,53.3168,-60.3315,-3.69,77,100,0.0,CA,1707110048
138,lodja,-3.4833,23.4333,69.64,96,100,2.37,CD,1707110048
139,freeport,40.6576,-73.5832,38.01,64,0,10.0,US,1707109959
140,betare oya,5.6,14.0833,67.48,26,48,5.68,CM,1707110048
141,bredasdorp,-34.5322,20.0403,70.43,86,12,3.04,ZA,1707110049
142,bardai,11.65,7.2333,60.67,17,56,15.21,NG,1707110049
143,taroa,8.7058,171.2275,80.89,81,16,17.52,MH,1707110049
144,zouerate,22.7187,-12.4521,61.2,16,100,13.04,MR,1707110049
145,inarajan village,13.2736,144.7484,85.17,74,28,22.19,GU,1707110050
146,margaret river,-33.95,115.0667,70.25,50,38,15.35,AU,1707110050
147,carolina beach,34.0352,-77.8936,50.02,70,100,17.52,US,1707110050
148,i-n-salah,27.1935,2.4607,53.46,49,0,18.79,DZ,1707110050
149,ushuaia,-54.8,-68.3,55.76,93,100,11.23,AR,1707109879
150,puerto armuelles,8.2833,-82.8667,77.09,82,51,7.0,PA,1707110051
151,kodiak,57.79,-152.4072,31.51,93,100,4.61,US,1707110051
152,jamestown,42.097,-79.2353,28.04,94,0,6.91,US,1707110022
153,pihuamo,19.2499,-103.3828,64.08,40,0,5.08,MX,1707110051
154,mhamid,29.82,-5.72,47.61,48,61,7.0,MA,1707110052
155,san antonio de pale,-1.4014,5.6325,81.75,78,59,6.17,GQ,1707110052
156,laguna,38.421,-121.4238,60.46,80,100,26.46,US,1707110052
157,walvis bay,-22.9575,14.5053,65.35,94,100,1.14,NA,1707110053
158,gamba,-2.65,10.0,78.78,89,100,4.52,GA,1707110054
159,nadym,65.5333,72.5167,-7.06,97,96,6.46,RU,1707110054
160,luwuk,-0.9516,122.7875,86.68,66,100,1.07,ID,1707110055
161,college,64.8569,-147.8028,0.81,71,100,4.61,US,1707110055
162,codrington,-38.2667,141.9667,64.44,55,73,15.19,AU,1707110055
163,bilibino,68.0546,166.4372,-25.28,87,5,3.18,RU,1707110056
164,meridian,43.6121,-116.3915,46.49,53,100,31.07,US,1707109828
165,la ronge,55.1001,-105.2842,21.45,86,100,4.61,CA,1707110056
166,portland,45.5234,-122.6762,51.84,65,75,20.71,US,1707109819
167,hillsborough,37.5741,-122.3794,55.62,86,75,34.52,US,1707109805
168,murghob,38.1702,73.9667,-0.87,71,62,4.56,TJ,1707110057
169,kosh-agach,50.0,88.6667,-3.69,84,100,1.01,RU,1707110057
170,minas de marcona,-15.2119,-75.1103,66.49,84,32,5.39,PE,1707110057
171,neukirchen,50.8667,9.3333,50.2,89,100,17.43,DE,1707110057
172,ekenas,59.9736,23.4339,29.89,89,37,6.33,FI,1707110058
173,kimbe,-5.5502,150.1429,83.3,81,85,6.02,PG,1707110058
174,vila velha,-20.3297,-40.2925,75.15,96,20,3.44,BR,1707110058
175,daru,-9.0763,143.2092,86.18,72,72,3.2,PG,1707110058
176,beckley,37.7782,-81.1882,37.81,70,0,1.01,US,1707109663
177,st. john's,47.5649,-52.7093,34.29,96,100,24.16,CA,1707110010
178,badger,64.8,-147.5333,0.72,76,100,4.61,US,1707109957
179,callao,-12.0667,-77.15,79.72,73,0,8.05,PE,1707110059
180,tual,-5.6667,132.75,84.04,75,83,12.48,ID,1707110060
181,stanley,54.868,-1.6985,50.52,76,75,24.16,GB,1707109941
182,afaahiti,-17.75,-149.2833,80.47,84,100,14.88,PF,1707110060
183,biswan,27.5,81.0,63.03,82,92,3.02,IN,1707110060
184,aasiaat,68.7098,-52.8699,-25.17,87,11,4.83,GL,1707110061
185,thurgoona,-36.0451,146.9919,74.66,73,100,10.54,AU,1707110061
186,naze,28.3667,129.4833,60.31,70,81,21.83,JP,1707110061
187,novy bydzov,50.2415,15.4908,50.47,81,100,25.14,CZ,1707110061
188,enewetak,11.3474,162.3373,79.84,71,94,18.1,MH,1707110062
189,prieska,-29.6641,22.7474,77.58,23,0,4.29,ZA,1707110062
190,nema,57.5067,50.5011,20.8,96,100,5.39,RU,1707110063
191,chonchi,-42.6128,-73.8092,61.12,95,69,4.65,CL,1707110063
192,rawson,-43.3002,-65.1023,77.79,28,43,30.69,AR,1707110063
193,al mindak,20.1588,41.2834,58.6,86,78,4.85,SA,1707110063
194,yuni,13.4192,122.4833,85.86,54,20,4.81,PH,1707110064
195,axim,4.8699,-2.2405,78.31,88,49,3.49,GH,1707110064
196,kiunga,-6.1219,141.2906,93.18,50,100,2.59,PG,1707110064
197,baotou,40.6522,109.8222,25.65,72,83,6.96,CN,1707110064
198,bridgewater,44.3835,-64.5155,28.11,82,100,27.63,CA,1707109359
199,newman,37.3138,-121.0208,58.01,79,67,8.99,US,1707110065
200,rosetta,31.4044,30.4164,57.72,67,19,13.18,EG,1707110065
201,port saint john's,-31.6229,29.5448,73.83,79,44,4.63,ZA,1707110066
202,darwin,-12.4611,130.8418,93.06,65,20,15.01,AU,1707109928
203,pocahontas,36.2615,-90.9712,47.05,91,75,9.22,US,1707110066
204,east london,-33.0153,27.9116,73.99,68,0,4.25,ZA,1707110066
205,constantia,44.1833,28.65,43.7,78,92,19.08,RO,1707110046
206,sittwe,20.15,92.9,77.47,40,1,7.72,MM,1707110067
207,grand falls-windsor,48.9332,-55.6649,30.51,95,100,10.0,CA,1707110067
208,sinabang,2.4803,96.3801,84.97,68,97,0.81,ID,1707110067
209,sinaloa de leyva,25.8333,-108.2333,59.16,42,0,3.51,MX,1707110068
210,suva,-18.1416,178.4415,85.48,70,40,6.91,FJ,1707110068
211,belle fourche,44.6714,-103.8522,42.49,57,64,7.34,US,1707110069
212,gaiman,-43.2897,-65.4929,82.38,21,27,30.56,AR,1707110069
213,damghan,36.1683,54.348,35.2,59,31,0.98,IR,1707110069
214,flin flon,54.7682,-101.865,22.55,95,100,5.06,CA,1707110070
215,koupela,12.1794,-0.3517,69.85,16,99,12.86,BF,1707110070
216,priob'ye,62.5206,65.5964,-14.98,100,81,2.1,RU,1707110070
217,longyearbyen,78.2186,15.6401,30.04,74,75,17.27,SJ,1707109963
218,qarqaraly,49.4058,75.4742,17.35,91,100,7.83,KZ,1707110071
